16,16,ACLIMACAO,Parque Municipal Existente,136440.73,Urbano,333839.12,7392124.21,13.00,"Média a alta cobertura arbórea, arbóreo-arbustiva e ou arborescente",6539864.00,3257869.00,SE,SE,9,91
16,16,ACLIMACAO,Parque Municipal Existente,136440.73,Urbano,333912.07,7392106.83,13.00,"Média a alta cobertura arbórea, arbóreo-arbustiva e ou arborescente",33415431.00,7218346.00,SE,SE,9,91
16,16,ACLIMACAO,Parque Municipal Existente,136440.73,Urbano,333873.12,7392124.67,13.00,"Média a alta cobertura arbórea, arbóreo-arbustiva e ou arborescente",60971134.00,14600270.00,SE,SE,9,91
16,16,ACLIMACAO,Parque Municipal Existente,136440.73,Urbano,333798.21,7391849.51,14.00,Vegetação herbáceo-arbustiva,119979853.00,33745099.00,SE,SE,9,91
16,16,ACLIMACAO,Parque Municipal Existente,136440.73,Urbano,333687.88,7391961.71,14.00,Vegetação herbáceo-arbustiva,136268806.00,36356576.00,SE,SE,9,91
16,16,ACLIMACAO,Parque Municipal Existente,136440.73,Urbano,333767.61,7391864.51,14.00,Vegetação herbáceo-arbustiva,147646504.00,36091819.00,SE,SE,9,91
16,16,ACLIMACAO,Parque Municipal Existente,136440.73,Urbano,333791.29,7391898.42,13.00,"Média a alta cobertura arbórea, arbóreo-arbustiva e ou arborescente",13561439057.00,859178820.00,SE,SE,9,91
17,17,ALFREDO VOLPI,Parque Municipal Existente,135857.99,Urbano,326370.84,7390276.72,14.00,Vegetação herbáceo-arbustiva,12273208.00,7758755.00,BUTANTA,BT,10,89
17,17,ALFREDO VOLPI,Parque Municipal Existente,135857.99,Urbano,325978.59,7390463.49,13.00,"Média a alta cobertura arbórea, arbóreo-arbustiva e ou arborescente",18417555.00,7361998.00,BUTANTA,BT,10,89
17,17,ALFREDO VOLPI,Parque Municipal Existente,135857.99,Urbano,326560.68,7390415.57,13.00,"Média a alta cobertura arbórea, arbóreo-arbustiva e ou arborescente",500464898.00,60830878.00,BUTANTA,BT,10,89
17,17,ALFREDO VOLPI,Parque Municipal Existente,135857.99,Urbano,326223.90,7390390.45,9.00,Maciços florestais heterogêneos e bosques urbanos,13655549147.00,226364051.00,BUTANTA,BT,10,89
17,17,ALFREDO VOLPI,Parque Municipal Existente,135857.99,Urbano,326420.72,7390241.09,13.00,"Média a alta cobertura arbórea, arbóreo-arbustiva e ou arborescente",431960981.00,43067924.00,BUTANTA,BT,10,89
386,386,ALTO DA BOA VISTA,Parque Municipal Proposto: em Implantação,10263.38,Urbano,328074.56,7383835.06,13.00,"Média a alta cobertura arbórea, arbóreo-arbustiva e ou arborescente",111332989316.00,12441175124.00,SANTO AMARO,SA,14,64
